潔	〔결〕맑을, 정결할, 조촐할
缺	〔결〕이지러질, 번개 번쩍거릴, 깨어질, 이 빠질
訣	〔결〕이별할, 열결할, 사례할, 비결
拮	〔결〕길거할, 열심히 일할 〔길〕일할, 열심히일할
抉	〔결〕긁을, 당길
闋	〔결〕쉴, 다할, 풍류 마칠, 문 닫을
觖	〔결〕서운할, 들쳐낼, 바랄
玦	〔결〕옥패, 활 깍지
結成面	지명
兼	〔겸〕겸할, 아우를, 둘 얻을, 모을
謙	〔겸〕사양할, 겸손할, 괘 이름
慊	〔겸〕앙심먹을, 불만족하게 생각할, 싫을
箝	〔겸〕재갈, 족집개, 목 잠글
鉗	〔겸〕목사슬, 세력으로써 남을 누를, 입 다물
鎌	〔겸〕낫
歉	〔겸〕흉년들, 적을, 나쁠
蒹	〔겸〕갈대
嗛	〔겸〕부족히 여길, 겸손, 입에 밥 물고 있을
縑	〔겸〕합사비단
傔	〔겸〕겸종
拑	〔겸〕자갈 먹일
黚	〔겸〕얕은 금향빛
鼸	〔겸〕두더쥐
兼面	지명
兼白面	지명
京	〔경〕서울
敬	〔경〕공경할
輕	〔경〕가벼울
經	〔경〕날, 경서
慶	〔경〕경사
景	〔경〕별, 볕
庚	〔경〕일곱째 천간
驚	〔경〕놀랄
耕	〔경〕밭갈
競	〔경〕겨룰, 다툴
境	〔경〕지경
竟	〔경〕다할, 마칠
警	〔경〕경계할
鏡	〔경〕거울
傾	〔경〕기울, 기울어질
卿	〔경〕벼슬
頃	〔경〕밭 넓이 단위, 백이랑
徑	〔경〕지름길
硬	〔경〕굳을, 단단할
梗	〔경〕대개, 곧을
瓊	〔경〕옥, 붉은옥
儆	〔경〕경계할
璟	〔경〕옥 빛, 옥광채날
炅	〔경〕빛날, 빗날
勁	〔경〕굳셀
鯨	〔경〕고래
磬	〔경〕경쇠
頸	〔경〕목
莖	〔경〕줄기
脛	〔경〕정강이
憬	〔경〕깨달을, 깨우칠
痙	〔경〕심줄 땅길, 목뻣뻣할
絅	〔경〕끌어 쥘, 낚을
耿	〔경〕빛날, 반짝거릴
逕	〔경〕소로, 가까울
坰	〔경〕들
璥	〔경〕경옥
擎	〔경〕들
勍	〔경〕셀, 굳셀
涇	〔경〕통할
烱	〔경〕빛날, 불김
暻	〔경〕밝을
俓	〔경〕徑과 同字, 곧을
倞	〔경〕굳셀
罄	〔경〕빌
扃	〔경〕빗장
竸	〔경〕競과 同字
冏	〔경〕빛날
煢	〔경〕외로울
惸	〔경〕근심할
畊	〔경〕耕의 古字
鯁	〔경〕생선뼈
哽	〔경〕목멜
檠	〔경〕도지개
綆	〔경〕두레박줄
黥	〔경〕묵형할
褧	〔경〕홑옷
謦	〔경〕기침
駉	〔경〕목장
剄	〔경〕목 벨
熲	〔경〕빛날
憼	〔경〕공경할
焭	〔경〕근싱할
顈	〔경〕홑옷
冂	〔경〕멀다
京畿道	지명
京洞	지명
慶山市	지명
慶尙南道	지명
慶尙北道	지명
景西洞	지명
京安洞	지명
京岩洞	지명
慶雲洞	지명
慶園洞	지명
京場洞	지명
慶州市	지명
庚川面	지명
景賢洞	지명
鏡湖洞	지명
慶和洞	지명
計	〔계〕꾀, 셀
界	〔계〕지경
癸	〔계〕열째 천간
溪	〔계〕시내
季	〔계〕끝
鷄	〔계〕닭
啓	〔계〕열
繼	〔계〕이을
戒	〔계〕경계할
係	〔계〕걸릴, 이을
系	〔계〕이을, 실마리
階	〔계〕섬돌
契	〔계〕맺을, 계약할 〔글〕부족 이름, 계약할
桂	〔계〕계수나무
械	〔계〕형틀, 기계
繫	〔계〕맬, 맺을
悸	〔계〕두근거를, 두근거릴
谿	〔계〕시내
稽	〔계〕머무를
棨	〔계〕창, 창틀
誡	〔계〕경계할
屆	〔계〕이를, 다다를
磎	〔계〕谿와 同字, 시냇물
堺	〔계〕界와 同字, 지경
雞	〔계〕닭
烓	〔계〕화덕
罽	〔계〕물고기 그물
薊	〔계〕삽주
堦	〔계〕섬돌
髻	〔계〕상투
禊	〔계〕계제
筓	〔계〕비녀
綮	〔계〕발 고운 비단
瘈	〔계〕미칠
縘	〔계〕繫와 同字
葪	〔계〕베일, 삽주
彐	〔계〕고슴도치머리
彑	〔계〕고슴도치머리
溪谷面	지명
溪南面	지명
桂洞	지명
鷄龍面	지명
鷄林洞	지명
溪北面	지명
桂山	지명
桂山洞	지명
溪山洞	지명
鷄山洞	지명
桂城面	지명
桂壽洞	지명
桂陽區	지명
桂陽洞	지명
界火面	지명
古	〔고〕옛
高	〔고〕높을
告	〔고〕알릴, 고할
苦	〔고〕쓸, 괴로울
固	〔고〕굳을
故	〔고〕옛, 연고
考	〔고〕상고할
姑	〔고〕시어미, 시어머니
孤	〔고〕외로울
庫	〔고〕곳집
鼓	〔고〕북
稿	〔고〕볏집
枯	〔고〕마를
顧	〔고〕돌아볼
雇	〔고〕새이름, 머슴
皐	〔고〕부르는 소리, 언덕
錮	〔고〕땜질할
拷	〔고〕가질, 때릴
痼	〔고〕고질, 고질병
辜	〔고〕허물
膏	〔고〕살찔, 기름
叩	〔고〕두드릴
股	〔고〕넓적다리
袴	〔고〕바지
敲	〔고〕두드릴
呱	〔고〕울, 아이우는 소리
誥	〔고〕고할, 가르칠
槁	〔고〕槀와 同字, 마른나무
藁	〔고〕마른 나무, 짚
攷	〔고〕考의 古字, 생각할
沽	〔고〕팔
蠱	〔고〕독, 회충
羔	〔고〕새끼양
苽	〔고〕줄
睾	〔고〕못, 고환
菰	〔고〕향초
暠	〔고〕흴, 밝고흰
尻	〔고〕꽁무니
瞽	〔고〕소경
刳	〔고〕가를
靠	〔고〕기댈
翺	〔고〕날
罟	〔고〕그물
觚	〔고〕술잔
杲	〔고〕밝을
栲	〔고〕북나무
槀	〔고〕마를
估	〔고〕값
詁	〔고〕주석
盬	〔고〕염지
篙	〔고〕상앗대
鴣	〔고〕자고
皋	〔고〕못
酤	〔고〕계명주
櫜	〔고〕활집
糕	〔고〕떡
胯	〔고〕사타구니 〔과〕사타구니
郜	〔고〕나라이름
羖	〔고〕검은 암양
槹	〔고〕두레박
鈷	〔고〕다리미
凅	〔고〕얼어붙을
牯	〔고〕암소
稁	〔고〕稿와 同字
箍	〔고〕테
鷱	〔고〕새이름
古康洞	지명
古康本洞	지명
古鏡面	지명
古郡面	지명
古今面	지명
古基洞	지명
高南面	지명
古達面	지명
高潭洞	지명
高大面	지명
高德洞	지명
古德面	지명
高登洞	지명
高等洞	지명
古浪洞	지명
高靈郡	지명
高靈邑	지명
古老面	지명
考老比亞	콜롬비아
古龍洞	지명
古倫比亞	콜롬비아
古林洞	지명
高明洞	지명
顧母洞	지명
